module	width	recipe	class	source_sha256
mul16_mac_fused_fast_shared_ctrl_dadda_koggestone_xormaj_classic	16	classic	control	bc07674f42c4dd660bfd03635e29c0576087ccfd0137b0fbdaa9dde92eb26810
mul16_mac_fused_fast_shared_ctrl_dadda_ripple_mux_default	16	default	control	851186eec933f0986ebd07de06ff5c1966a76a06fe86dda090902a7b692e2b06
mul16_mac_fused_fast_shared_ctrl_dadda_ripple_mux_classic	16	classic	control	851186eec933f0986ebd07de06ff5c1966a76a06fe86dda090902a7b692e2b06
mul16_mac_fused_fast_shared_ctrl_dadda_ripple_xormaj_default	16	default	control	1cd84c2f13efade64f4ee23dcd8548859de34fa50692e1dd0bbabfdedc87e3ff
mul16_mac_fused_fast_shared_ctrl_dadda_ripple_xormaj_classic	16	classic	control	1cd84c2f13efade64f4ee23dcd8548859de34fa50692e1dd0bbabfdedc87e3ff
mul16_mac_fused_fast_shared_ctrl_dadda_sklansky_mux_default	16	default	control	c1ba53a073f28786845fdf006c7c43f7e2676ef17b198b9737dbcbd68fe49731
mul16_mac_fused_fast_shared_ctrl_dadda_sklansky_mux_classic	16	classic	control	c1ba53a073f28786845fdf006c7c43f7e2676ef17b198b9737dbcbd68fe49731
mul16_mac_fused_fast_shared_ctrl_dadda_sklansky_xormaj_default	16	default	control	04c0554c998df56a5124e4ae285962e90ea39d71f033323c412057bb284ffe37
mul16_mac_fused_fast_shared_ctrl_dadda_sklansky_xormaj_classic	16	classic	control	04c0554c998df56a5124e4ae285962e90ea39d71f033323c412057bb284ffe37
mul16_mac_fused_fast_shared_ctrl_wallace_brentkung_mux_default	16	default	control	d7a739257622474bfb00499af607653bca5231890a819a3bf010afc1d523253c
mul16_mac_fused_fast_shared_ctrl_wallace_brentkung_mux_classic	16	classic	control	d7a739257622474bfb00499af607653bca5231890a819a3bf010afc1d523253c
mul16_mac_fused_fast_shared_ctrl_wallace_brentkung_xormaj_default	16	default	control	821a89908c40da358b6572b6615fb8d3e1fd7b96e7a85f502e0ed50578a8b87d
