module	width	class	samples	seed	recipe	source_sha256	worst_arrival_ps	worst_output	area_um2
mul24_mac_replay_ctrl_array_brentkung_mux_classic	24	control	1000	1752132732	classic	809d3a9145c56829bfbe921f5d74653e72bd74f9aee24ecbe22d1fde5a7d5200	7810.0	y[49]	27060.95
mul24_mac_replay_ctrl_wallace_brentkung_mux_default	24	control	1000	1752132732	default	3c8e01b7cd150c364c9f30ba30a237d19dcff508f39e6bda76fa8684405d066d	9960.0	y[74]	20718.62
mul24_mac_replay_ctrl_wallace_brentkung_mux_classic	24	control	1000	1752132732	classic	3c8e01b7cd150c364c9f30ba30a237d19dcff508f39e6bda76fa8684405d066d	6600.0	y[49]	28836.41
mul24_mac_replay_ctrl_dadda_brentkung_mux_default	24	control	1000	1752132732	default	8cb9c22d163ef6c13ead5e2c9e80a6ec392c0c48a25002cc1e62a8f71f456ba3	11540.0	y[49]	19680.12
mul24_mac_replay_ctrl_dadda_brentkung_mux_classic	24	control	1000	1752132732	classic	8cb9c22d163ef6c13ead5e2c9e80a6ec392c0c48a25002cc1e62a8f71f456ba3	6050.0	y[49]	30593.09
mul24_mac_replay_ctrl_array_hancarlson_xormaj_default	24	control	1000	1752132732	default	b5520df8a9749cec907096767ced0322ecb99e7ab21d0e5db283843bdada77f0	11060.0	y[53]	21302.93
mul24_mac_replay_ctrl_array_hancarlson_xormaj_classic	24	control	1000	1752132732	classic	b5520df8a9749cec907096767ced0322ecb99e7ab21d0e5db283843bdada77f0	8100.0	y[74]	28124.47
mul24_mac_replay_ctrl_wallace_hancarlson_xormaj_default	24	control	1000	1752132732	default	00d08a37747e7e88393ecdaaefad8886428ec71b112dc119cb42036f10b59eda	10150.0	y[49]	21281.66
mul24_mac_replay_ctrl_wallace_hancarlson_xormaj_classic	24	control	1000	1752132732	classic	00d08a37747e7e88393ecdaaefad8886428ec71b112dc119cb42036f10b59eda	6550.0	y[49]	38369.30
mul24_mac_replay_ctrl_dadda_hancarlson_xormaj_default	24	control	1000	1752132732	default	0db71ae7695ec78d5b0165190f5da82f604ede4488d927e6de3b18f453a4ea7a	10170.0	y[74]	21070.21
mul24_mac_replay_ctrl_dadda_hancarlson_xormaj_classic	24	control	1000	1752132732	classic	0db71ae7695ec78d5b0165190f5da82f604ede4488d927e6de3b18f453a4ea7a	6020.0	y[49]	38607.03
mul24_mac_replay_ctrl_array_hancarlson_mux_default	24	control	1000	1752132732	default	2b2c8631fabda0ecf07fc4aedc3ccb4fff64d8b217619cc90e4a6629cfb84670	9990.0	y[49]	20385.80
mul24_mac_replay_ctrl_array_hancarlson_mux_classic	24	control	1000	1752132732	classic	2b2c8631fabda0ecf07fc4aedc3ccb4fff64d8b217619cc90e4a6629cfb84670	7630.0	y[49]	28049.40
mul24_mac_replay_ctrl_wallace_hancarlson_mux_default	24	control	1000	1752132732	default	eb0ac48ae991017b95422778259bf15bd1c03d0aee81b1531fd5e968784b03eb	10840.0	y[49]	21530.65
mul24_mac_replay_ctrl_wallace_hancarlson_mux_classic	24	control	1000	1752132732	classic	eb0ac48ae991017b95422778259bf15bd1c03d0aee81b1531fd5e968784b03eb	7120.0	y[49]	30524.28
mul24_mac_replay_ctrl_dadda_hancarlson_mux_default	24	control	1000	1752132732	default	9e733b1f4df6bc25a544ce9a4c0a0671359abba1ea845c59a0830dfbba5cebd5	8980.0	y[49]	20621.03
mul24_mac_replay_ctrl_dadda_hancarlson_mux_classic	24	control	1000	1752132732	classic	9e733b1f4df6bc25a544ce9a4c0a0671359abba1ea845c59a0830dfbba5cebd5	5650.0	y[49]	31871.82
